objectid,title,classification,subclassification,medium,beginyear,endyear,displaydate,visualbrowsertimespan,departmentabbr,creditline,accessionnum,school,theme,century,half_century,acq_year
5,The Madonna of Humility,Painting,,tempera on panel,1430.0,1430.0,c. 1430,1401 to 1500,CIS-R,Andrew W. Mellon Collection,1937.1.5,Florentine,religious,1400,1400,1937.0
9,The Madonna of Humility,Painting,,tempera (?) on panel,1423.0,1424.0,c. 1423/1424,1401 to 1500,CIS-R,Andrew W. Mellon Collection,1937.1.7,Florentine,religious,1400,1400,1937.0
11,Madonna and Child with Angels and Cherubim,Painting,,tempera on poplar panel,1460.0,1465.0,c. 1460/1465,1401 to 1500,CIS-R,Andrew W. Mellon Collection,1937.1.9,Sienese,religious,1400,1450,1937.0
12,The Adoration of the Magi,Painting,,tempera on poplar panel,1470.0,1475.0,c. 1470/1475,1401 to 1500,CIS-R,Andrew W. Mellon Collection,1937.1.10,Sienese,religious,1400,1450,1937.0
15,The Adoration of the Magi,Painting,,tempera on panel,1450.0,1450.0,c. 1450,1401 to 1500,CIS-R,Andrew W. Mellon Collection,1937.1.13,Sienese,religious,1400,1450,1937.0
16,Profile Portrait of a Young Man,Painting,,tempera on panel,1430.0,1450.0,1430/1450,1401 to 1500,CIS-R,Andrew W. Mellon Collection,1937.1.14,Florentine,portrait,1400,1400,1937.0
17,Matteo Olivieri (?),Painting,,tempera (and oil?) on panel transferred to canvas,1430.0,1440.0,1430s,1401 to 1500,CIS-R,Andrew W. Mellon Collection,1937.1.15,Florentine,portrait,1400,1400,1937.0
19,Portrait of a Man,Painting,,tempera on panel,1450.0,1450.0,c. 1450,1401 to 1500,CIS-R,Andrew W. Mellon Collection,1937.1.17,Florentine,portrait,1400,1450,1937.0
20,The Adoration of the Child,Painting,,oil on poplar panel,1475.0,1480.0,c. 1475/1480,1401 to 1500,CIS-R,Andrew W. Mellon Collection,1937.1.18,Florentine,religious,1400,1450,1937.0
21,Portrait of a Youth,Painting,,tempera on poplar panel,1482.0,1485.0,c. 1482/1485,1401 to 1500,CIS-R,Andrew W. Mellon Collection,1937.1.19,Florentine,portrait,1400,1450,1937.0
22,Portrait of a Youth,Painting,,oil and tempera on panel,1485.0,1485.0,c. 1485,1401 to 1500,CIS-R,Andrew W. Mellon Collection,1937.1.20,Florentine,portrait,1400,1450,1937.0
23,Madonna and Child,Painting,,tempera on panel,1470.0,1470.0,c. 1470,1401 to 1500,CIS-R,Andrew W. Mellon Collection,1937.1.21,Florentine,religious,1400,1450,1937.0
24,The Adoration of the Magi,Painting,,tempera and oil on poplar panel,1478.0,1482.0,c. 1478/1482,1401 to 1500,CIS-R,Andrew W. Mellon Collection,1937.1.22,Florentine,religious,1400,1450,1937.0
25,Profile Portrait of a Lady,Painting,,oil on panel,1410.0,1410.0,c. 1410,1401 to 1500,CNE-R,Andrew W. Mellon Collection,1937.1.23,Franco-Flemish,portrait,1400,1400,1937.0
26,The Alba Madonna,Painting,,oil on panel transferred to canvas,1510.0,1510.0,c. 1510,1501 to 1550,CIS-R,Andrew W. Mellon Collection,1937.1.24,Marchigian,religious,1500,1500,1937.0
27,The Niccolini-Cowper Madonna,Painting,,oil on panel,1508.0,1508.0,1508,1501 to 1550,CIS-R,Andrew W. Mellon Collection,1937.1.25,Marchigian,religious,1500,1500,1937.0
28,Saint George and the Dragon,Painting,,oil on panel,1506.0,1506.0,c. 1506,1501 to 1550,CIS-R,Andrew W. Mellon Collection,1937.1.26,Marchigian,religious,1500,1500,1937.0
29,"The Crucifixion with the Virgin, Saint John, Saint Jerome, and Saint Mary Magdalene [left panel]",Painting,,oil on panel transferred to canvas,1482.0,1485.0,c. 1482/1485,1401 to 1500,CIS-R,Andrew W. Mellon Collection,1937.1.27.a,Umbrian,religious,1400,1450,1937.0
30,"The Crucifixion with the Virgin, Saint John, Saint Jerome, and Saint Mary Magdalene [middle panel]",Painting,,oil on panel transferred to canvas,1482.0,1485.0,c. 1482/1485,1401 to 1500,CIS-R,Andrew W. Mellon Collection,1937.1.27.b,Umbrian,religious,1400,1450,1937.0
31,"The Crucifixion with the Virgin, Saint John, Saint Jerome, and Saint Mary Magdalene [right panel]",Painting,,oil on panel transferred to canvas,1482.0,1485.0,c. 1482/1485,1401 to 1500,CIS-R,Andrew W. Mellon Collection,1937.1.27.c,Umbrian,religious,1400,1450,1937.0
32,The Flight into Egypt,Painting,,oil on panel,1515.0,1515.0,c. 1515,1501 to 1550,CIS-R,Andrew W. Mellon Collection,1937.1.28,Venetian,religious,1500,1500,1937.0
36,Portrait of a Young Man in Red,Painting,,oil and tempera on panel,1480.0,1480.0,c. 1480,1401 to 1500,CIS-R,Andrew W. Mellon Collection,1937.1.29,Venetian,portrait,1400,1450,1937.0
